延安二十里堡机场	airport
延安二十里铺机场	airport
盐城机场	airport
延吉朝阳川机场	airport
烟台莱山机场	airport
阳江合山机场	airport
扬州泰州机场	airport
宜宾菜坝机场	airport
宜宾莱坝机场	airport
宜宾宜宾高坪机场	airport
宜昌三峡机场	airport
伊宁机场	airport
义乌机场	airport
银川河东机场	airport
永州零陵机场	airport
榆林西沙机场	airport
元谋机场	airport
运城关公机场	airport
云南腾冲驼峰机场	airport
湛江机场	airport
湛江坡头直升机场	airport
湛江新塘机场	airport
张家界大庸荷花机场	airport
张家界荷花机场	airport
樟宜机场	airport
昭通机场	airport
朝阳机场	airport
郑州上街机场	airport
郑州新郑机场	airport
舟山机场	airport
舟山普陀山朱家尖机场	airport
珠海九州直升机场	airport
珠海三灶机场	airport
遵义机场	airport
